TVID,DID,DLN,Plate Number,Time,Date,Location,Type,Description,Penalty Type,Penalty Status,Fines Paid,Personal Damage,Personal Injury,Reporting Officer,Officer's Division
TV3011,D1023,DL1023,PZZ5263,12:57,14/02/2026,Bartica,DUI,Driving under influence; resulted in property damage and injury.,Fine,Waived,FALSE,Yes,Yes,Sgt. Daniels,Region 4B Division
TV3037,D1023,DL1023,PWW2538,12:13,25/08/2025,New Amsterdam,Illegal Parking,Unauthorized parking on main road.,Ticket,Contested,FALSE,No,No,Sgt. Daniels,Region 4B Division
TV3013,D1024,DL1024,HC8157,09:37,15/03/2026,New Amsterdam,Illegal Parking,Parking obstruction; resulted in property damage.,Ticket,Partial,FALSE,Yes,No,Sgt. Daniels,Region 4A Division
TV3024,D1024,DL1024,PAE7835,04:58,10/01/2026,Parika,Speeding,Violation of speed regulations.,Warning,NULL,NULL,No,No,Insp. Adams,Region 4B Division
TV3043,D1025,DL1025,PAK9856,03:37,05/06/2025,Enmore,Illegal Parking,Illegal parking; resulted in property damage.,Ticket,Partial,FALSE,Yes,Yes,Cpl. Fraser,Region 4A Division
TV3036,D1027,DL1027,PAG5246,08:04,20/09/2025,Linden,Traffic Signals Violation,Signal violation; resulted in personal injury.,Ticket,Paid,TRUE,No,Yes,Sgt. Daniels,Region 4B Division
TV3010,D1028,DL1028,PVV3526,20:19,11/11/2025,Bartica,DUI,Impaired driving detected.,Fine,Unpaid,FALSE,No,No,Cpl. Fraser,Region 3 Division
TV3047,D1028,DL1028,PXX4536,15:33,20/12/2025,Anna Regina,DUI,Driving under the influence.,Fine,Waived,FALSE,No,No,Cpl. Fraser,Region 4A Division
TV3034,D1029,DL1029,PAD2819,22:25,15/07/2025,Parika,Speeding,Speeding violation; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Cpl. Fraser,Region 4B Division
TV3008,D1030,DL1030,CG6124,01:44,10/03/2026,Enmore,Illegal Parking,Parking violation; resulted in property damage and injury.,Ticket,Paid,TRUE,Yes,Yes,Insp. Adams,Region 4B Division
TV3009,D1030,DL1030,CG6124,19:10,25/11/2025,Anna Regina,Speeding,Excessive speed on highway.,Warning,NULL,NULL,No,No,Cpl. Fraser,Region 3 Division
TV3026,D1031,DL1031,PAH9822,05:43,05/02/2026,Bartica,Illegal Parking,Prohibited parking area.,Ticket,Partial,FALSE,No,Yes,Const. Singh,Region 4B Division
TV3018,D1033,DL1033,GAB1723,17:50,14/06/2025,New Amsterdam,Speeding,High speed citation.,Ticket,Unpaid,FALSE,No,No,Sgt. Daniels,Region 4B Division
TV3016,D1037,DL1037,GAH1239,21:22,10/01/2026,Diamond,Traffic Signals Violation,Disregarded traffic signal; resulted in damage and injury.,Ticket,Contested,FALSE,Yes,Yes,Cpl. Fraser,Region 3 Division
TV3035,D1037,DL1037,GAH1239,21:17,15/08/2025,Anna Regina,DUI,Driving while impaired.,Fine,Partial,FALSE,No,No,Sgt. Daniels,Region 4A Division
TV3005,D1038,DL1038,BAC8850,10:02,22/10/2025,New Amsterdam,Illegal Parking,Parking violation; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Insp. Adams,Region 3 Division
TV3029,D1039,DL1039,BAH6351,20:23,05/04/2026,Bartica,Speeding,Vehicle speed above limit; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Sgt. Daniels,Region 3 Division
TV3015,D1040,DL1040,BAD4760,00:27,12/12/2025,Parika,Illegal Parking,Unauthorized parking; resulted in personal injury.,Ticket,Waived,FALSE,No,Yes,Cpl. Fraser,Region 3 Division
TV3003,D1041,DL1041,PAD3627,16:29,15/06/2025,Diamond,Illegal Parking,Parking obstruction; resulted in personal injury.,Ticket,Unpaid,FALSE,No,Yes,Cpl. Fraser,Region 3 Division
TV3007,D1042,DL1042,PAE2578,20:44,01/03/2026,Bartica,Speeding,Speeding citation.,Warning,NULL,NULL,No,No,Const. Singh,Region 4A Division
TV3014,D1042,DL1042,PAE2578,12:03,20/09/2025,Parika,DUI,Operating vehicle under influence; resulted in property damage.,Fine,Waived,FALSE,Yes,Yes,Const. Singh,Region 4A Division
TV3023,D1043,DL1043,PAG3526,07:53,10/01/2026,Linden,DUI,Drunk driving citation; resulted in property damage.,Fine,Unpaid,FALSE,Yes,No,Insp. Adams,Region 4B Division
TV3020,D1045,DL1045,PAI3483,08:15,15/07/2025,Linden,Illegal Parking,Illegal parking; resulted in property damage and injury.,Warning,NULL,NULL,Yes,Yes,Const. Singh,Region 4A Division
TV3040,D1045,DL1045,PAI3483,02:45,05/11/2025,Bartica,Traffic Signals Violation,Signal violation; resulted in personal injury.,Ticket,Waived,FALSE,No,Yes,Cpl. Fraser,Region 3 Division
TV3000,D1048,DL1048,PAH2626,15:41,20/02/2026,Georgetown,Illegal Parking,Illegal parking; resulted in property damage.,Ticket,Paid,TRUE,Yes,No,Sgt. Daniels,Region 3 Division
TV3022,D1048,DL1048,PAH2626,13:23,10/06/2025,Bartica,Illegal Parking,Parking violation.,Ticket,Contested,FALSE,No,No,Const. Singh,Region 3 Division
TV3002,D1049,DL1049,CJ2516,17:25,15/03/2026,New Amsterdam,Illegal Parking,Illegal parking; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Insp. Adams,Region 4A Division
